,flux,peak_flux,peak_var,frame_var
0,15.323142711943278,6.671371816880757,5.737763098424017,
1,4.742424267288706,5.813550496165426,5.83179536899047,
2,0.46379864265811793,6.347721416865018,5.83528188674481,
3,11.055032368691649,6.897847436069142,5.743698132660562,
4,0.0,6.352972561870908,5.744946929669313,
5,0.0,5.982581286305472,5.7856552473048275,
6,0.0,6.366061571780984,5.8708154179357495,
7,0.0,7.701582179637867,5.703773214611459,
8,0.0,7.347362822940035,5.700838255905451,
9,0.0,6.784334620446735,5.740410764959236,
10,6.189461158956632,7.256546971560768,5.764837695585399,
11,0.0,7.711180386964634,5.619731399031998,
12,6.320433511064498,5.7896382115074845,5.896342045830526,
13,10.50762603928614,6.531444011994867,5.764958183576655,
14,0.0,6.176390249068745,5.668164932604499,
15,0.0,6.6945528171028155,5.681937994047654,
16,20.340285035943328,6.962424690530221,5.798919784552108,
17,0.1655511215514878,6.493626635426682,5.710508948873513,
18,0.0,6.558847537049992,5.813224754500976,
19,0.0,8.43375841038405,5.63613728855349,
20,0.0,5.834609335604241,5.748888089410395,
21,9.39091722555624,6.232613522053377,5.766680031755653,
22,7.927385676826566,5.849298969811831,5.725379371721357,
23,2.1803790239312426,6.7551540710251805,5.606191904477921,
24,0.0,6.8633298061202215,5.688905866382565,
25,1.8837108609424424,6.623259438266826,5.774226732175709,
26,0.0,6.849259341646222,5.70984831466624,
27,9.715969057652506,7.0089062907011535,5.773295588897763,
28,0.0,6.120357934256993,5.753432431961829,
29,4.063607019701763,6.635787141979127,5.743335350270791,
30,0.0,6.121421855425362,5.781676538241967,
31,0.0,6.479418467576256,5.760190735504418,
32,0.0,6.596374565049957,5.799827334259285,
33,0.0,7.2776081810439015,5.693701478914653,
34,19.865679325752726,7.098519182836072,5.750412869916861,
35,0.0,5.920027072616901,5.709482015564108,
36,4.7454527463772225,6.890866232405062,5.673899503617679,
37,0.0,6.800154982795025,5.61600655997537,
38,10.767317666107925,7.18812252985465,5.741420389496846,
39,0.0,7.188336798472009,5.8243344370194565,
40,0.0,7.3356424345354245,5.734260353113156,
41,8.03059328958779,6.979216071735094,5.862894306396222,
42,0.0,5.725188004661121,5.760124397229188,
43,0.0,7.157076799383481,5.778641209333145,
44,0.0,6.337928669873083,5.793244773335848,
45,0.0,6.080491874999773,5.803019334397565,
46,30.886337668947643,6.837097512387442,5.76701483180962,
47,23.3586444919964,6.1255024200738415,5.79524449142729,
48,31.29176920477124,6.3372371099774805,5.7123370471244055,
49,3.7958252210408476,7.125254620396713,5.714195507824853,
